grip requested,grip performed,grip timing
1,1,37.0
1,1,-155.0
1,1,-279.0
2,0,nan
1,1,209.0
2,1,147.0
1,1,-255.0
2,1,125.0
2,1,-141.0
1,1,-203.0
1,1,-265.0
1,1,-21.0
2,1,19.0
2,0,nan
1,1,-105.0
1,1,-303.0
2,1,146.0
2,0,nan
3,0,nan
2,1,-176.0
1,1,-170.0
3,0,nan
2,0,nan
1,1,-214.0
1,1,-168.0
2,1,-20.0
2,0,nan
2,1,26.0
1,1,-342.0
1,1,-166.0
1,1,-154.0
1,1,-209.0
2,1,-203.0
1,1,-197.0
2,0,nan
1,1,-117.0
2,0,nan
2,1,100.0
1,1,-234.0
1,1,10.0
2,1,-52.0
1,1,-114.0
1,1,-278.0
