grip requested,grip performed,grip timing
1,1,43.0
1,1,-115.0
1,1,-171.0
2,1,-131.0
1,1,-125.0
2,1,-17.0
1,1,-79.0
2,0,nan
2,0,nan
1,1,-163.0
1,1,-191.0
1,1,-117.0
2,0,nan
2,0,nan
1,1,-99.0
1,1,-160.0
2,0,nan
2,0,nan
3,0,nan
2,0,nan
1,1,-130.0
3,0,nan
2,0,nan
1,1,-174.0
1,1,-162.0
2,1,-82.0
2,0,nan
2,0,nan
1,1,-98.0
1,1,-126.0
1,1,-12.0
1,1,-102.0
2,0,nan
1,1,-124.0
2,0,nan
1,1,-146.0
2,1,132.0
2,0,nan
1,1,-196.0
1,1,-122.0
2,0,nan
1,1,-178.0
1,1,-70.0
