grip requested,grip performed,grip timing
1,1,-27.0
1,1,-82.0
1,1,-104.0
2,0,nan
1,1,-92.0
2,2,-120.0
1,1,-114.0
2,2,28.0
2,2,-102.0
1,1,-130.0
1,1,-124.0
1,1,-84.0
2,2,-78.0
2,2,-106.0
1,1,-32.0
1,1,-128.0
2,2,-88.0
2,2,-116.0
3,0,nan
2,2,-36.0
1,1,-132.0
3,0,nan
2,2,-12.0
1,1,-142.0
1,1,-28.0
2,2,53.0
2,2,-111.0
2,2,-3.0
1,1,-99.0
1,1,-161.0
1,1,-80.0
1,1,-68.0
2,2,-28.0
1,1,-124.0
2,2,-118.0
1,1,-78.0
2,2,-106.0
2,2,-100.0
1,1,-128.0
1,1,-156.0
2,2,-116.0
1,1,-178.0
1,1,-70.0
