grip requested,grip performed,grip timing
1,0,nan
1,1,-112.0
1,1,-66.0
2,0,nan
1,1,-156.0
2,2,-48.0
1,1,-246.0
2,2,-36.0
2,2,-132.0
1,0,nan
1,1,-120.0
1,1,-46.0
2,2,-6.0
2,2,-102.0
1,1,-28.0
1,1,-90.0
2,2,-50.0
2,2,-146.0
3,0,nan
2,2,2.0
1,1,-26.0
3,0,nan
2,2,27.0
1,1,-273.0
1,1,-57.0
2,2,-147.0
2,2,-5.0
2,2,-67.0
1,1,-95.0
1,1,14.0
1,2,-76.0
1,1,-64.0
2,2,10.0
1,1,-154.0
2,2,90.0
1,1,-346.0
2,2,136.0
2,2,40.0
1,1,-158.0
1,1,-118.0
2,2,-10.0
1,1,-72.0
1,1,-66.0
