grip requested,grip performed,grip timing
3,3,104.84
1,0,nan
3,4,-204.95
1,2,-206.845
2,3,-208.74
1,0,nan
2,2,-212.53
1,0,nan
1,0,nan
3,0,nan
1,0,nan
3,1,-86.005
2,2,82.1
3,2,80.205
2,2,-193.69
1,2,-59.585
1,0,nan
3,1,72.625
1,0,nan
3,2,-101.165
2,2,-1.05999999999
1,2,31.045
2,2,-72.85
1,2,-40.745
3,4,-178.64
1,0,nan
1,0,nan
1,0,nan
2,0,nan
2,0,nan
3,0,nan
1,0,nan
1,0,nan
2,0,nan
2,0,nan
3,0,nan
3,0,nan
2,1,42.305
1,0,nan
2,1,208.515
3,1,-31.38
2,1,102.725
3,0,nan
1,1,-173.065
3,0,nan
2,3,-142.858
1,0,nan
2,2,-248.654
2,2,-182.552
2,2,-81.501
3,4,-117.399
1,0,nan
3,4,-120.246
2,0,nan
3,3,-124.042
2,2,-159.94
3,3,-127.838
2,2,-163.736
1,1,-267.634
2,1,-65.5319999999
3,3,-135.43
3,3,-171.328
2,1,-173.226
1,2,-141.124
1,2,129.927
2,2,-211.022
2,2,-75.9709999999
3,0,nan
1,1,-214.818
1,1,56.2330000001
2,1,-182.716
2,0,nan
3,4,19.3860000001
3,3,51.4880000001
2,3,117.59
1,2,-122.308
2,2,45.7940000001
3,4,-194.104
2,2,-162.002
3,0,nan
1,1,-165.798
3,3,-201.696
2,2,-101.594
1,1,-103.492
2,2,-139.39
2,2,-107.288
2,2,-108.237
3,3,-144.135
1,2,-43.0839999998
1,1,-78.0329999998
2,3,57.4925000002
3,4,-182.88
1,0,nan
3,0,nan
1,0,nan
2,0,nan
1,0,nan
