grip requested,grip performed,grip timing
1,0,nan
1,0,nan
1,0,nan
2,2,-79.0
1,1,63.0
2,2,-101.0
1,1,109.0
2,2,-21.0
2,2,-117.0
1,1,-77.0
1,1,-241.0
1,1,-235.0
2,2,-93.0
2,2,-155.0
1,1,-13.0
1,0,nan
2,2,-69.0
2,2,-63.0
3,3,-226.0
2,2,-118.0
1,1,58.0
3,3,-168.0
2,2,-128.0
1,1,150.0
1,0,nan
2,2,-30.0
2,2,-58.0
2,2,16.0
1,0,nan
1,0,nan
1,1,74.0
1,0,nan
2,2,-145.0
1,1,99.0
2,2,37.0
1,1,-25.0
2,2,-155.0
2,0,nan
1,1,-108.0
1,1,-136.0
2,2,-28.0
1,1,182.0
1,0,nan
