grip requested,grip performed,grip timing
1,1,-74.0
1,1,-108.0
1,1,129.0
2,2,-48.0
1,1,-93.0
2,2,-100.0
1,1,-173.0
2,2,-112.0
2,2,-106.0
1,1,-14.0
1,1,-126.0
1,1,-146.0
2,0,nan
2,2,-115.0
1,1,-30.0
1,1,-8.0
2,0,nan
2,2,-173.0
3,3,59.0
2,2,-40.0
1,1,-4.0
3,0,nan
2,2,-28.0
1,1,-65.0
1,1,-90.0
2,0,nan
2,2,-182.0
2,2,-92.0
1,1,-152.0
1,1,-128.0
1,1,-70.0
1,1,-54.0
2,2,-111.0
1,1,-252.0
2,2,-78.0
1,1,-173.0
2,2,-131.0
2,2,-129.0
1,1,-122.0
1,1,-21.0
2,2,-192.0
1,1,-255.0
1,1,-126.0
