grip requested,grip performed,grip timing
1,1,-19.2
1,1,-83.6
1,1,-148.0
4,4,127.6
5,0,nan
5,0,nan
3,2,138.4
2,2,-164.0
4,4,-126.4
2,2,-153.2
3,3,-78.0
1,1,-130.6
1,1,111.0
1,1,-55.4
4,0,nan
5,0,nan
5,0,nan
3,3,-177.0
2,2,-139.4
4,4,-169.8
2,2,-128.6
1,1,-155.4
4,4,29.0
2,2,-133.8
4,4,-160.6
4,4,-191.0
3,3,-187.4
2,2,-183.8
4,4,-146.2
4,4,99.0
4,4,-165.8
2,2,-162.2
2,2,-121.0
1,1,-151.4
1,1,-181.8
1,1,-178.2
4,4,-174.6
5,0,nan
5,4,-167.4
3,3,-95.8
2,2,-126.2
4,4,-156.6
2,2,-115.4
1,1,-108.2
1,1,144.2
1,1,9.99999999997
1,1,-90.2
1,1,-118.8
1,1,-192.15
2,2,-147.4
2,2,-111.6
2,2,-109.8
2,2,-99.0
2,2,-165.2
2,2,-197.4
2,2,183.0
2,2,-196.35
1,1,-83.6
1,1,-81.8
1,1,-148.0
1,1,-137.2
1,1,-169.4
1,1,-201.6
1,1,-60.2
1,1,-133.55
2,0,nan
2,2,185.0
2,2,-153.2
2,2,-142.4
2,2,-208.6
2,2,-206.8
2,2,-201.4
2,2,-206.75
1,1,-26.0
1,0,nan
1,1,-90.4
4,4,-181.6
2,2,-174.4
4,4,-133.2
4,4,-129.6
3,3,-92.0
2,2,-190.4
4,4,-207.375
4,4,-145.6
4,4,-138.4
2,2,-202.8
2,2,-161.6
1,0,nan
1,1,-154.4
1,1,-48.8000000001
4,0,nan
5,0,nan
5,0,nan
3,3,-136.4
2,2,-166.8
4,4,-27.2000000001
3,3,-114.8
4,4,-134.4
1,1,-59.2000000001
5,0,nan
