grip requested,grip performed,grip timing
2,0,nan
2,3,150.115
3,3,-40.662
2,0,nan
1,0,nan
2,2,12.23
1,0,nan
3,4,-29.324
3,0,nan
5,0,nan
3,4,-77.432
2,2,-132.209
1,2,-118.986
3,4,-160.54
3,0,nan
5,0,nan
2,2,-124.17675
4,4,-107.648
3,4,-53.756
3,4,-6.533
5,0,nan
3,2,-170.864
2,2,-191.641
1,0,nan
5,0,nan
5,4,-70.749
4,4,-159.526
2,2,-180.303
3,4,-133.08
2,2,-127.411
5,0,nan
2,2,-134.965
3,4,-155.742
2,2,-176.519
4,4,-197.296
3,0,nan
2,2,-204.85
3,2,-42.404
3,4,-199.181
3,0,nan
2,2,-138.735
4,4,-125.512
2,2,84.157
5,0,nan
5,0,nan
5,2,55.826
4,4,-87.728
3,0,nan
2,2,-197.282
3,4,67.164
3,0,nan
4,4,-212.39
2,2,196.791625
2,2,18.056
3,0,nan
3,0,nan
3,0,nan
5,0,nan
3,0,nan
2,2,-165.153
1,0,nan
3,4,-57.484
3,4,-78.261
5,0,nan
2,2,-153.815
4,4,-72.592
3,0,nan
3,0,nan
5,0,nan
3,0,nan
2,2,-194.669
1,0,nan
5,0,nan
5,0,nan
4,4,-165.124
2,0,nan
3,0,nan
2,0,nan
5,0,nan
2,0,nan
3,3,-165.452
2,0,nan
4,0,nan
3,2,-195.325
2,2,-12.616
3,0,nan
3,4,97.427
3,0,nan
2,2,-145.239
4,4,-164.572
2,2,-52.571
5,2,-105.904
5,0,nan
5,0,nan
4,4,-116.569
3,4,-206.6238875
2,2,-157.901
3,4,-131.233
3,0,nan
4,4,-172.565
2,2,-18.5086125
2,2,-142.5635
4,4,-25.9498875
3,4,-87.889
3,0,nan
5,4,-61.2569999999
4,4,-115.941
3,0,nan
3,0,nan
1,2,-143.993
3,4,154.639
3,0,nan
5,0,nan
4,4,100.633925
3,4,71.9030000001
3,0,nan
3,3,36.4830000001
5,0,nan
3,0,nan
2,0,nan
1,0,nan
5,0,nan
5,0,nan
4,4,-183.673
2,2,-170.357
3,0,nan
2,2,-117.093
5,0,nan
2,2,-56.4609999999
3,4,-179.145
2,2,-131.829
4,4,51.4870000002
3,0,nan
2,2,-193.881
3,0,nan
3,0,nan
3,0,nan
2,2,-161.301
4,4,-147.985
2,2,61.9630000003
5,0,nan
5,0,nan
5,0,nan
4,4,-211.457
3,4,-130.141
2,2,-82.8249999997
3,0,nan
3,4,-8.87699999963
4,4,-97.9969999997
4,4,-85.1169999997
3,0,nan
5,0,nan
5,0,nan
5,0,nan
1,0,nan
4,4,-207.197
3,3,9.68300000016
2,0,nan
3,3,-53.6769999999
3,3,-40.7969999999
3,0,nan
2,0,nan
4,4,-138.157
3,0,nan
5,3,-18.637
5,0,nan
5,0,nan
4,4,-171.117
3,0,nan
2,0,nan
3,3,186.403
3,4,-208.717
4,4,-93.8370000002
5,0,nan
3,0,nan
2,0,nan
3,0,nan
3,0,nan
4,4,-92.7970000003
5,0,nan
4,2,-73.4770000003
2,2,-33.0370000003
2,2,52.4829999997
2,2,-2.63700000034
3,0,nan
4,2,57.1229999996
2,2,-106.437
1,0,nan
3,0,nan
1,0,nan
3,3,-77.8370000005
