date,time,song,grips hit 1,grips hit 2,grips hit 3,grips hit 4,grips hit 5,grips possible 1,grips possible 2,grips possible 3,grips possible 4,grips possible 5,mean timing error,stdev of timing error,seconds played,total grips detected 1,total grips detected 2,total grips detected 3,total grips detected 4,total grips detected 5
2014-06-05,14:30:25,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-06-05,14:32:51,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-06-12,14:46:50,Speed Test,5,0,0,0,0,14,14,14,14,14,-69.33,122.35,98,9,0,0,0,0
2014-06-12,14:48:50,Speed Test,1,0,0,0,0,14,14,14,14,14,-57.00,103.00,98,11,0,0,0,0
2014-06-12,14:51:40,Sunshine Day,4,0,0,0,0,23,18,2,0,0,-123.18,158.60,115,35,0,0,0,0
2014-06-12,14:53:53,Sunshine Day,4,0,0,0,0,23,18,2,0,0,-148.71,106.26,115,47,0,0,0,0
2014-06-23,16:45:27,Dexterity Test,0,0,0,0,0,18,18,18,18,18,0.00,0.00,88,0,0,0,0,0
2014-06-23,16:47:55,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-07-07,16:20:15,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-07-07,16:22:30,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-07-21,17:28:08,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-07-21,17:30:27,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-07-28,16:28:32,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-07-28,16:31:31,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-08-06,17:12:20,Dexterity Test,0,0,0,0,0,18,18,18,18,18,0.00,0.00,88,0,0,0,0,0
2014-08-06,17:14:03,Dexterity Test,0,0,0,0,0,18,18,18,18,18,0.00,0.00,88,0,0,0,0,0
2014-08-06,17:16:16,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-08-13,17:42:10,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-08-13,17:44:24,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-08-20,16:33:12,Dexterity Test,0,0,0,0,0,18,18,18,18,18,0.00,0.00,88,0,0,0,0,0
2014-08-20,16:35:23,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-08-27,17:24:24,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-08-27,17:26:39,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-09-03,17:36:30,Dexterity Test,0,0,0,0,0,18,18,18,18,18,0.00,0.00,88,0,0,0,0,0
2014-09-03,17:38:58,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-09-10,17:45:00,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-09-10,17:47:31,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-10-08,17:38:27,Dexterity Test,0,0,0,0,0,18,18,18,18,18,0.00,0.00,88,0,0,0,0,0
2014-10-08,17:40:41,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2014-10-15,16:59:42,Speed Test,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0
2014-10-15,17:04:50,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2014-10-15,17:07:31,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2015-11-30,17:27:57,Sunshine Day,0,0,0,0,0,20,6,4,11,2,0.00,0.00,115,0,0,0,0,0
2016-01-04,16:58:12,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,1,0,0,0,0
2016-01-04,17:00:27,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
2016-05-09,17:33:00,Speed Test,0,0,0,0,0,14,14,14,14,14,0.00,0.00,98,0,0,0,0,0
2016-05-09,17:35:12,Sunshine Day,0,0,0,0,0,23,18,2,0,0,0.00,0.00,115,0,0,0,0,0
